im1_name,im2_name,low_first,repeat,task_type
/static/images/modifae_pairwise/intelligent/136181_-0.75.png,/static/images/modifae_pairwise/intelligent/136181_0.75.png,1,1,modifae
/static/images/modifae_pairwise/intelligent/136270_0.75.png,/static/images/modifae_pairwise/intelligent/136270_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136200_-0.75.png,/static/images/modifae_pairwise/intelligent/136200_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136207_0.75.png,/static/images/modifae_pairwise/intelligent/136207_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136204_0.75.png,/static/images/modifae_pairwise/intelligent/136204_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136239_-0.75.png,/static/images/modifae_pairwise/intelligent/136239_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136223_-0.75.png,/static/images/modifae_pairwise/intelligent/136223_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136203_0.75.png,/static/images/modifae_pairwise/intelligent/136203_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136237_-0.75.png,/static/images/modifae_pairwise/intelligent/136237_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136229_-0.75.png,/static/images/modifae_pairwise/intelligent/136229_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136208_0.75.png,/static/images/modifae_pairwise/intelligent/136208_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136204_-0.75.png,/static/images/modifae_pairwise/intelligent/136204_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136271_-0.75.png,/static/images/modifae_pairwise/intelligent/136271_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136217_-0.75.png,/static/images/modifae_pairwise/intelligent/136217_0.75.png,1,0,modifae
/static/images/gt_pairwise/intelligent-low-0.png,/static/images/gt_pairwise/intelligent-high-0.png,1,0,gt
