,subId,rt,imgName,isRepeat,rating,trial_index,debug_mode
48,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2022,/static/images/2kfaces/Google_1_Gary Perri_3_oval.jpg,0,4,58,live
49,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2143,/static/images/2kfaces/Google_1_Cindy Morehead_5_oval.jpg,0,4,59,live
50,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2094,/static/images/2kfaces/Google_1_Jonathan Marek_5_oval.jpg,1,5,63,live
51,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,4950,/static/images/2kfaces/Google_1_Steve Stamm_1_oval.jpg,1,7,64,live
52,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2493,/static/images/2kfaces/Google_1_Kathleen Sartain_1_oval.jpg,1,6,65,live
53,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3125,/static/images/2kfaces/Google_1_Timothy Galvan_11_oval.jpg,1,5,66,live
54,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2581,/static/images/2kfaces/Google_1_Carole Bentley_7_oval.jpg,1,6,67,live
55,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2158,/static/images/2kfaces/Google_1_Eva Kirkman_15_oval.jpg,1,5,68,live
56,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3933,/static/images/2kfaces/Google_1_Sarah Woodcock_3_oval.jpg,1,6,69,live
57,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3765,/static/images/2kfaces/Google_1_Frank Luke_9_oval.jpg,1,3,70,live
58,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,5325,/static/images/2kfaces/Google_1_Gary Nance_3_oval.jpg,1,6,71,live
59,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2751,/static/images/2kfaces/Google_1_Alma Poor_7_oval.jpg,1,8,72,live
60,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2854,/static/images/2kfaces/Google_1_Gary Perri_3_oval.jpg,1,4,74,live
61,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2876,/static/images/2kfaces/Google_1_Antonio Benn_12_oval.jpg,1,5,75,live
62,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2589,/static/images/2kfaces/Google_1_Gertrude Bayne_11_oval.jpg,1,3,76,live
63,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2246,/static/images/2kfaces/Google_1_Tina Middleton_7_oval.jpg,1,5,77,live
64,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2463,/static/images/2kfaces/Google_1_Samuel Goff_1_oval.jpg,1,3,78,live
65,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2766,/static/images/2kfaces/Google_1_Erika Fletcher_1_oval.jpg,1,8,79,live
66,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2885,/static/images/2kfaces/Google_1_Florence Melton_1_oval.jpg,1,4,80,live
67,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3254,/static/images/2kfaces/Google_1_Mark Houser_17_oval.jpg,1,4,81,live
68,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2445,/static/images/2kfaces/Google_1_Kenneth Cabral_19_oval.jpg,1,5,82,live
69,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2133,/static/images/2kfaces/Google_1_Cindy Morehead_5_oval.jpg,1,4,83,live
70,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2524,/static/images/2kfaces/Google_1_Bryan Brunner_3_oval.jpg,1,5,85,live
71,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2270,/static/images/2kfaces/Google_1_Matthew Vanbuskirk_1_oval.jpg,1,5,86,live
72,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2813,/static/images/2kfaces/Google_1_Russell Gillam_17_oval.jpg,1,8,87,live
73,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2182,/static/images/2kfaces/Google_1_Andrew Diggs_9_oval.jpg,1,4,88,live
74,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2405,/static/images/2kfaces/Bryan_Shanklin_9_oval.jpg,1,3,89,live
