,subId,rt,im1,im2,response,low_first,repeat,task_type,correct
36,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,25,/static/images/modifae_pairwise/trustworthy/136196_0.0.png,/static/images/modifae_pairwise/trustworthy/136196_-0.5.png,left,0,0,modifae,True
37,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,160,/static/images/modifae_pairwise/trustworthy/136260_-0.5.png,/static/images/modifae_pairwise/trustworthy/136260_0.0.png,right,1,0,modifae,True
38,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,42,/static/images/modifae_pairwise/trustworthy/136271_0.0.png,/static/images/modifae_pairwise/trustworthy/136271_-0.5.png,left,0,0,modifae,True
39,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,143,/static/images/gt_pairwise/trustworthy-mid-4.png,/static/images/gt_pairwise/trustworthy-low-4.png,right,0,0,modifae,False
40,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,84,/static/images/modifae_pairwise/trustworthy/136235_0.0.png,/static/images/modifae_pairwise/trustworthy/136235_-0.5.png,left,0,0,modifae,True
41,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,92,/static/images/modifae_pairwise/trustworthy/136259_-0.5.png,/static/images/modifae_pairwise/trustworthy/136259_0.0.png,right,1,0,modifae,True
42,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,118,/static/images/modifae_pairwise/trustworthy/136271_-0.5.png,/static/images/modifae_pairwise/trustworthy/136271_0.0.png,left,1,0,modifae,False
43,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,60,/static/images/modifae_pairwise/trustworthy/136248_0.0.png,/static/images/modifae_pairwise/trustworthy/136248_-0.5.png,right,0,0,gt,False
44,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,155,/static/images/gt_pairwise/trustworthy-mid-7.png,/static/images/gt_pairwise/trustworthy-low-7.png,left,0,1,modifae,True
45,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,32,/static/images/modifae_pairwise/trustworthy/136258_0.0.png,/static/images/modifae_pairwise/trustworthy/136258_-0.5.png,right,0,0,modifae,False
