im1,im2,low_first,pair_ind,repeat,task_type
/static/images/modifae_pairwise/intelligent_new/136234_0.0.png,/static/images/modifae_pairwise/intelligent_new/136234_1.png,1,18,0,modifae
/static/images/modifae_pairwise/intelligent_new/136232_0.0.png,/static/images/modifae_pairwise/intelligent_new/136232_1.png,1,20,0,modifae
/static/images/modifae_pairwise/intelligent_new/136256_0.0.png,/static/images/modifae_pairwise/intelligent_new/136256_1.png,1,50,0,modifae
/static/images/modifae_pairwise/intelligent_new/136187_1.png,/static/images/modifae_pairwise/intelligent_new/136187_0.0.png,0,25,0,modifae
/static/images/modifae_pairwise/intelligent_new/136183_0.0.png,/static/images/modifae_pairwise/intelligent_new/136183_1.png,1,6,0,modifae
/static/images/modifae_pairwise/intelligent_new/136207_1.png,/static/images/modifae_pairwise/intelligent_new/136207_0.0.png,0,71,0,modifae
/static/images/modifae_pairwise/intelligent_new/136200_1.png,/static/images/modifae_pairwise/intelligent_new/136200_0.0.png,0,76,0,modifae
/static/images/modifae_pairwise/intelligent_new/136221_0.0.png,/static/images/modifae_pairwise/intelligent_new/136221_1.png,1,1,0,modifae
/static/images/modifae_pairwise/intelligent_new/136236_0.0.png,/static/images/modifae_pairwise/intelligent_new/136236_1.png,1,16,0,modifae
/static/images/modifae_pairwise/intelligent_new/136263_1.png,/static/images/modifae_pairwise/intelligent_new/136263_0.0.png,0,64,0,modifae
/static/images/modifae_pairwise/intelligent_new/136209_0.0.png,/static/images/modifae_pairwise/intelligent_new/136209_1.png,1,79,0,modifae
/static/images/modifae_pairwise/intelligent_new/136180_1.png,/static/images/modifae_pairwise/intelligent_new/136180_0.0.png,0,5,0,modifae
/static/images/modifae_pairwise/intelligent_new/136203_0.0.png,/static/images/modifae_pairwise/intelligent_new/136203_1.png,1,75,0,modifae
/static/images/modifae_pairwise/intelligent_new/136229_1.png,/static/images/modifae_pairwise/intelligent_new/136229_0.0.png,0,9,0,modifae
/static/images/modifae_pairwise/intelligent_new/136204_1.png,/static/images/modifae_pairwise/intelligent_new/136204_0.0.png,0,72,0,modifae
/static/images/modifae_pairwise/intelligent_new/136261_0.0.png,/static/images/modifae_pairwise/intelligent_new/136261_1.png,1,12,0,modifae
/static/images/modifae_pairwise/intelligent_new/136246_1.png,/static/images/modifae_pairwise/intelligent_new/136246_0.0.png,0,37,0,modifae
