,subId,rt,imgName,rating,trial_index,debug_mode
34,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,5373,136176_-0.6439393939393939.png,9,39,live
35,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3269,136265_0.7045454545454546.png,8,40,live
36,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2972,136201_-0.26515151515151514.png,9,41,live
37,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2910,136172_-0.7045454545454546.png,8,42,live
38,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4204,136243_0.3712121212121213.png,9,43,live
39,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3109,136253_0.5227272727272727.png,8,44,live
40,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3803,136232_0.20454545454545459.png,8,46,live
41,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3253,136176_-0.6439393939393939.png,8,47,live
42,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4773,136222_0.053030303030303094.png,8,48,live
43,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3773,136182_-0.553030303030303.png,9,49,live
44,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3301,136243_0.3712121212121213.png,9,50,live
45,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3070,136223_0.06818181818181823.png,9,51,live
46,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3380,136234_0.23484848484848486.png,8,52,live
47,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3918,136217_-0.022727272727272707.png,8,53,live
48,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2542,136202_-0.25.png,9,54,live
49,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4462,136228_0.14393939393939392.png,9,55,live
50,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3798,136212_-0.09848484848484851.png,9,57,live
51,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4662,136170_-0.7348484848484849.png,9,58,live
52,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2789,136225_0.09848484848484851.png,9,59,live
53,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3405,136231_0.18939393939393945.png,9,60,live
54,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2372,136232_0.20454545454545459.png,8,61,live
55,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2157,136250_0.4772727272727273.png,9,62,live
56,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2317,136179_-0.5984848484848485.png,9,63,live
57,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2981,136209_-0.14393939393939392.png,9,64,live
58,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3661,136246_0.41666666666666674.png,9,65,live
59,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2037,136221_0.037878787878787845.png,9,66,live
60,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,5264,136190_-0.4318181818181818.png,9,68,live
61,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4090,136224_0.08333333333333337.png,9,69,live
62,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3702,136189_-0.44696969696969696.png,9,70,live
63,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3061,136249_0.46212121212121215.png,9,71,live
64,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,15038,136179_-0.5984848484848485.png,9,72,live
65,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,5605,136264_0.6893939393939394.png,9,73,live
66,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2669,136172_-0.7045454545454546.png,9,74,live
67,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3549,136213_-0.08333333333333326.png,9,75,live
